round,winner,results,year,gender,player1,player2,firstServe1,firstServe2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,break1,break2,return1,return2,net1,net2
First,Jonas Bjorkman,5-7 4-6 6-0 6-1 6-2,2007,m,Jonas Bjorkman,Olivier Patience,63%,79%,74%,57%,52%,34%,45%,44%,48%,34%,71%,65%
First,Nicolas Mahut,6-0 6-7(0) 6-3 6-4,2007,m,Nicolas Mahut,Juan Monaco,44%,70%,78%,61%,50%,34%,53%,40%,47%,37%,79%,52%
First,Thomas Johansson,6-4 3-6 1-6 6-4 6-2,2007,m,Thomas Johansson,Marco Chiudinelli,60%,54%,74%,71%,43%,48%,75%,67%,39%,37%,60%,57%
First,Dominik Hrbaty,6-7(7) 7-6(1) 6-1 6-3,2007,m,Dominik Hrbaty,Jiri Vanek,59%,54%,77%,61%,46%,43%,42%,57%,47%,36%,61%,58%
First,Marat Safin,5-7 7-6(2) 3-6 6-3 6-4,2007,m,Marat Safin,Benjamin Becker,66%,49%,80%,79%,57%,58%,25%,38%,31%,28%,55%,84%
First,Zack Fleishman,7-5 4-6 6-3 6-4,2007,m,Zack Fleishman,Agustin Calleri,50%,57%,69%,69%,50%,41%,58%,38%,43%,41%,58%,73%
First,Danai Udomchoke,6-3 6-3 6-2,2007,m,Danai Udomchoke,Martin Vassallo Arguello,60%,63%,75%,58%,38%,32%,50%,43%,51%,40%,93%,57%
First,Mario Ancic,6-4 6-3 6-2,2007,m,Mario Ancic,Go Soeda,64%,56%,91%,60%,56%,45%,38%,33%,46%,22%,79%,42%
First,Feliciano Lopez,7-6(8) 4-6 6-3 7-6(3),2007,m,Feliciano Lopez,Brian Wilson,64%,65%,83%,73%,56%,47%,10%,33%,36%,27%,72%,61%
First,Jurgen Melzer,6-4 6-4 7-6(6),2007,m,Jurgen Melzer,Ivo Karlovic,66%,60%,79%,94%,56%,58%,67%,0%,20%,28%,79%,50%
First,Yen-Hsun Lu,6-3 6-4 6-3,2007,m,Yen-Hsun Lu,Simon Greul,62%,58%,76%,59%,45%,48%,55%,50%,46%,36%,75%,76%
First,David Ferrer,7-5 6-4 6-3,2007,m,David Ferrer,Kristian Pless,63%,55%,65%,60%,54%,50%,50%,50%,45%,39%,76%,50%
First,Marcos Baghdatis,6-4 2-6 6-3 6-2,2007,m,Marcos Baghdatis,Rainer Schuettler,43%,53%,84%,68%,47%,42%,70%,67%,44%,38%,58%,76%
First,Andy Roddick,6-7(18) 7-6(2) 6-3 6-3,2007,m,Andy Roddick,Jo-Wilfried Tsonga,72%,68%,80%,75%,57%,49%,67%,14%,33%,26%,63%,67%
First,Roger Federer,7-5 6-0 6-4,2007,m,Roger Federer,Bjorn Phau,71%,49%,70%,54%,52%,35%,47%,67%,56%,35%,75%,61%
First,Juan Carlos Ferrero,3-0 ret.,2007,m,Juan Carlos Ferrero,Jan Hajek,70%,40%,100%,50%,33%,0%,50%,38.0%,80%,20%,77.0%,57.0%
First,Novak Djokovic,6-1 6-1 6-0,2007,m,Novak Djokovic,Nicolas Massu,68%,54%,83%,46%,58%,38%,53%,0%,58%,25%,85%,40%
First,Marc Gicquel,3-6 6-7(1) 6-4 6-1 6-0,2007,m,Marc Gicquel,Alun Jones,56%,59%,73%,54%,54%,51%,63%,33%,47%,35%,51%,59%
First,Lukas Dlouhy,6-3 6-1 6-7(5) 6-7(5) 16-14,2007,m,Lukas Dlouhy,Teimuraz Gabashvili,63%,57%,73%,66%,41%,44%,52%,47%,43%,38%,57%,57%
First,Mardy Fish,4-6 7-6(2) 6-4 6-4,2007,m,Mardy Fish,Ivan Ljubicic,48%,57%,79%,85%,59%,47%,50%,14%,31%,31%,67%,80%
First,Radek Stepanek,6-2 6-4 6-0,2007,m,Radek Stepanek,Michael Llodra,71%,71%,93%,56%,65%,38%,55%,0%,49%,16%,78%,48%
First,Florent Serra,7-5 6-2 6-4,2007,m,Florent Serra,Nicolas Devilder,51%,52%,68%,61%,64%,52%,33%,25%,43%,34%,52%,50%
First,Sam Querrey,6-7(2) 6-4 6-1 6-3,2007,m,Sam Querrey,Jose Acasuso,56%,52%,84%,68%,45%,53%,46%,10%,39%,33%,43%,59%
First,Gael Monfils,7-6(2) 6-7(9) 6-4 7-6(5),2007,m,Gael Monfils,Daniele Bracciali,54%,59%,86%,70%,68%,57%,30%,25%,36%,23%,67%,60%
First,Amer Delic,6-3 6-0 6-2,2007,m,Amer Delic,Gilles Simon,49%,51%,84%,51%,53%,41%,80%,33%,54%,32%,58%,67%
First,Dudi Sela,6-4 6-2 6-2,2007,m,Dudi Sela,Paradorn Srichaphan,63%,58%,75%,55%,47%,43%,37%,40%,50%,36%,60%,59%
First,Guillermo Garcia-Lopez,1-1 ret.,2007,m,Guillermo Garcia-Lopez,Joachim Johansson,75%,50%,83%,80%,0%,40%,51.0%,44.0%,40%,38%,0%,75%
First,Richard Gasquet,6-4 6-4 6-2,2007,m,Richard Gasquet,Filippo Volandri,64%,59%,65%,54%,43%,41%,50%,57%,51%,43%,60%,65%
First,Tommy Robredo,6-4 6-4 6-0,2007,m,Tommy Robredo,Ruben Ramirez-Hidalgo,68%,50%,84%,63%,52%,39%,86%,100%,49%,26%,64%,64%
Final,Novak Djokovic,4-6 6-4 6-3 7-6(2),2008,m,Novak Djokovic,Jo-Wilfried Tsonga,56%,71%,78%,71%,63%,48%,33%,40%,36%,29%,79%,52%
semi,Novak Djokovic,7-5 6-3 7-6(5),2008,m,Novak Djokovic,Roger Federer,68%,61%,78%,72%,42%,43%,36%,22%,39%,34%,79%,71%
semi,Jo-Wilfried Tsonga,6-2 6-3 6-2,2008,m,Jo-Wilfried Tsonga,Rafael Nadal,64%,69%,86%,56%,56%,50%,71%,0%,46%,25%,75%,47%
quarter,Novak Djokovic,6-0 6-3 7-5,2008,m,Novak Djokovic,David Ferrer,62%,56%,76%,57%,51%,43%,43%,11%,49%,33%,83%,52%
quarter,Roger Federer,7-5 7-6(5) 6-4,2008,m,Roger Federer,James Blake,68%,58%,75%,70%,58%,43%,50%,100%,41%,30%,71%,60%
quarter,Jo-Wilfried Tsonga,7-5 6-0 7-6(6),2008,m,Jo-Wilfried Tsonga,Mikhail Youzhny,63%,73%,89%,69%,56%,31%,57%,39.0%,42%,23%,73%,65%
quarter,Rafael Nadal,7-5 6-3 6-1,2008,m,Rafael Nadal,Jarkko Nieminen,60%,69%,78%,63%,49%,36%,67%,13%,45%,34%,78%,53%
Fourth,Roger Federer,6-4 7-6(7) 6-3,2008,m,Roger Federer,Tomas Berdych,63%,55%,75%,75%,74%,49%,43%,33%,36%,26%,50%,53%
Fourth,David Ferrer,7-5 3-6 6-4 6-1,2008,m,David Ferrer,Juan Carlos Ferrero,73%,63%,71%,66%,42%,35%,32%,25%,46%,37%,72%,65%
Fourth,Novak Djokovic,7-5 6-3 6-3,2008,m,Novak Djokovic,Lleyton Hewitt,60%,52%,73%,60%,45%,42%,58%,43%,49%,38%,75%,70%
Fourth,James Blake,6-3 6-4 6-4,2008,m,James Blake,Marin Cilic,63%,55%,76%,70%,73%,54%,60%,0%,37%,25%,79%,61%
Fourth,Jarkko Nieminen,3-6 7-6(7) 7-6(9) 6-3,2008,m,Jarkko Nieminen,Philipp Kohlschreiber,61%,53%,63%,68%,46%,44%,50%,32%,43%,44%,66%,71%
Fourth,Rafael Nadal,6-4 3-0 ret.,2008,m,Rafael Nadal,Paul-Henri Mathieu,93%,59%,89%,55%,0%,40%,100%,35.0%,51%,17%,100%,38%
Fourth,Mikhail Youzhny,7-6(2) 6-3 6-1,2008,m,Mikhail Youzhny,Nikolay Davydenko,61%,62%,75%,59%,50%,42%,78%,50%,48%,34%,82%,70%
Fourth,Jo-Wilfried Tsonga,6-2 6-7(5) 7-6(6) 6-3,2008,m,Jo-Wilfried Tsonga,Richard Gasquet,64%,61%,83%,70%,52%,49%,42%,13%,38%,28%,70%,58%
Third,David Ferrer,6-3 6-3 6-2,2008,m,David Ferrer,Vince Spadea,64%,59%,82%,60%,54%,47%,56%,0%,45%,29%,63%,58%
Third,Juan Carlos Ferrero,6-1 6-2 6-3,2008,m,Juan Carlos Ferrero,David Nalbandian,62%,54%,79%,61%,59%,39%,60%,0%,49%,29%,80%,56%
Third,Lleyton Hewitt,4-6 7-5 7-5 6-7(4) 6-3,2008,m,Lleyton Hewitt,Marcos Baghdatis,57%,51%,76%,75%,49%,41%,35%,36%,41%,36%,70%,79%
Third,James Blake,4-6 2-6 6-0 7-6(5) 6-2,2008,m,James Blake,Sebastien Grosjean,56%,59%,66%,65%,54%,46%,57%,30%,43%,40%,50%,53%
Third,Novak Djokovic,6-3 6-1 6-3,2008,m,Novak Djokovic,Sam Querrey,76%,62%,75%,61%,80%,31%,50%,25%,50%,24%,62%,62%
Third,Roger Federer,6-7(5) 7-6(1) 5-7 6-1 10-8,2008,m,Roger Federer,Janko Tipsarevic,64%,52%,89%,71%,54%,57%,24%,100%,36%,24%,75%,55%
Third,Marin Cilic,6-2 6-7(4) 6-3 6-1,2008,m,Marin Cilic,Fernando Gonzalez,56%,64%,73%,61%,65%,40%,50%,25%,47%,31%,83%,63%
Third,Tomas Berdych,3-6 6-3 7-6(5) 6-2,2008,m,Tomas Berdych,Juan Monaco,60%,72%,83%,67%,43%,43%,56%,50%,40%,33%,75%,73%
Third,Nikolay Davydenko,6-3 6-2 6-3,2008,m,Nikolay Davydenko,Marc Gicquel,65%,65%,66%,61%,58%,30%,54%,33%,49%,37%,75%,61%
Third,Jarkko Nieminen,3-6 7-6(4) 6-3 6-1,2008,m,Jarkko Nieminen,Mardy Fish,73%,58%,76%,78%,47%,44%,31%,8%,36%,32%,81%,74%
Third,Rafael Nadal,7-5 6-2 6-3,2008,m,Rafael Nadal,Gilles Simon,60%,61%,75%,63%,62%,43%,35%,17%,45%,30%,82%,70%
Third,Richard Gasquet,6-3 6-2 4-6 6-4,2008,m,Richard Gasquet,Igor Andreev,65%,69%,73%,61%,69%,67%,38%,100%,37%,29%,71%,52%
Third,Jo-Wilfried Tsonga,6-3 6-4 6-2,2008,m,Jo-Wilfried Tsonga,Guillermo Garcia-Lopez,68%,53%,83%,52%,46%,54%,63%,100%,47%,29%,56%,41%
Third,Philipp Kohlschreiber,6-4 3-6 7-6(9) 6-7(3) 8-6,2008,m,Philipp Kohlschreiber,Andy Roddick,60.0%,59.0%,80.0%,65.0%,57.0%,45.0%,46.0%,22.0%,43.0%,29.0%,73.0%,54.0%
Third,Paul-Henri Mathieu,4-6 7-6(4) 2-6 7-5 8-6,2008,m,Paul-Henri Mathieu,Stefan Koubek,53%,60%,69%,72%,49%,47%,30%,47%,38%,40%,77%,73%
Third,Mikhail Youzhny,6-2 6-4 6-2,2008,m,Mikhail Youzhny,Ivo Karlovic,74%,63%,82%,62%,72%,46%,83%,0%,44%,21%,79%,41%
Second,Juan Carlos Ferrero,6-4 6-4 6-2,2008,m,Juan Carlos Ferrero,Alun Jones,64%,56%,77%,68%,55%,50%,63%,11%,40%,31%,85%,58%
Second,Sam Querrey,7-6(5) 4-6 6-4 6-2,2008,m,Sam Querrey,Dmitry Tursunov,55%,56%,78%,67%,47%,45%,63%,38%,42%,36%,71%,75%
Second,Marcos Baghdatis,6-4 6-4 2-6 3-6 6-2,2008,m,Marcos Baghdatis,Marat Safin,60%,56%,74%,68%,53%,55%,29%,57%,38%,34%,61%,62%
Second,Vince Spadea,4-6 6-2 6-3 2-6 9-7,2008,m,Vince Spadea,Denis Gremelmayr,52%,67%,68%,68%,48%,49%,27%,37%,38%,41%,68.0%,55.0%
Second,Marin Cilic,6-4 6-3 6-4,2008,m,Marin Cilic,Jurgen Melzer,53%,71%,71%,52%,67%,70%,36%,50%,43%,30%,69.0%,61.0%
Second,Janko Tipsarevic,7-5 7-6(3) 7-6(3),2008,m,Janko Tipsarevic,Fernando Verdasco,66%,72%,77%,71%,58%,45%,67%,100%,36%,30%,90%,64%
Second,James Blake,6-3 6-2 6-2,2008,m,James Blake,Michael Russell,59%,69%,83%,48%,61%,55%,60%,100%,50%,26%,87%,54%
Second,David Nalbandian,4-6 7-5 6-4 6-1,2008,m,David Nalbandian,Peter Luczak,59%,62%,84%,74%,57%,47%,57%,33%,36%,27%,71%,50%
Second,Tomas Berdych,6-2 6-1 6-3,2008,m,Tomas Berdych,Oscar Hernandez,58%,66%,89%,62%,56%,33%,55%,0%,48%,25%,64%,86%
Second,Fernando Gonzalez,4-6 6-3 6-2 6-4,2008,m,Fernando Gonzalez,Hyung-Taik Lee,60%,61%,63%,63%,56%,44%,41%,33%,44%,40%,56%,63%
Second,Lleyton Hewitt,7-6(5) 6-3 5-7 6-1,2008,m,Lleyton Hewitt,Denis Istomin,58%,55%,66%,70%,69%,42%,50%,25%,43%,33%,78%,78%
Second,Juan Monaco,6-3 7-6(6) 5-7 6-7(8) 8-6,2008,m,Juan Monaco,Amer Delic,74%,56%,69%,76%,58%,48%,38%,36%,36%,34%,66.0%,61.0%
Second,Sebastien Grosjean,4-6 6-4 6-0 6-7(4) 6-4,2008,m,Sebastien Grosjean,Robin Haase,64%,56%,75%,71%,63%,51%,64%,60%,38%,30%,62%,67%
Second,David Ferrer,6-3 6-4 ret.,2008,m,David Ferrer,Juan Martin Del Potro,74%,79%,69%,53%,43%,41%,38%,67%,49%,38%,80%,58%
Second,Roger Federer,6-1 6-2 6-0,2008,m,Roger Federer,Fabrice Santoro,69%,65%,76%,44%,79%,38%,50%,0%,58%,23%,81%,50%
Second,Novak Djokovic,6-1 6-2 6-2,2008,m,Novak Djokovic,Simone Bolelli,62%,59%,76%,50%,64%,42%,75%,0%,53%,29%,50%,63%
Second,Marc Gicquel,6-2 3-6 7-6(5) 2-1 ret.,2008,m,Marc Gicquel,Stanislas Wawrinka,59%,54%,63%,75%,62%,42%,63%,38%,40%,37%,65.0%,59.0%
Second,Nikolay Davydenko,6-4 6-0 6-3,2008,m,Nikolay Davydenko,Nicolas Mahut,77%,67%,61%,46%,38%,32%,69%,36%,59%,44%,70%,51%
Second,Paul-Henri Mathieu,6-7(5) 6-0 6-4 6-4,2008,m,Paul-Henri Mathieu,Paul Capdeville,56%,63%,76%,68%,60%,43%,46%,20%,41%,31%,77%,64%
Second,Ivo Karlovic,6-7(5) 6-4 6-3 6-1,2008,m,Ivo Karlovic,Dudi Sela,63%,70%,82%,58%,49%,72%,38%,0%,38%,30%,63.0%,62.0%
Second,Guillermo Garcia-Lopez,6-4 5-7 6-4 7-6(6),2008,m,Guillermo Garcia-Lopez,Alejandro Falla,58%,64%,75%,59%,45%,53%,27%,45%,42%,36%,64.0%,66.0%
Second,Jo-Wilfried Tsonga,6-4 7-6(4) 6-2,2008,m,Jo-Wilfried Tsonga,Sam Warburg,62%,70%,83%,60%,53%,41%,31%,100%,45%,28%,64%,54%
Second,Rafael Nadal,6-0 6-2 6-2,2008,m,Rafael Nadal,Florent Serra,72%,71%,77%,49%,42%,17%,64%,67%,60%,33%,67%,43%
Second,Igor Andreev,7-5 7-5 6-2,2008,m,Igor Andreev,Kristof Vliegen,66%,76%,79%,61%,51%,63%,36%,0%,37%,28%,59.0%,61.0%
Second,Andy Roddick,6-2 6-2 6-4,2008,m,Andy Roddick,Michael Berrer,75%,62%,80%,65%,53%,32%,33%,33%,48%,27%,52%,55%
Second,Philipp Kohlschreiber,6-4 6-2 0-1 ret.,2008,m,Philipp Kohlschreiber,Evgeny Korolev,59%,59%,79%,76%,70%,36%,33%,0%,41%,24%,75%,82%
Second,Richard Gasquet,6-2 6-1 6-3,2008,m,Richard Gasquet,Feliciano Lopez,69%,64%,78%,51%,89%,45%,55%,50.0%,51%,19%,78%,40%
Second,Mikhail Youzhny,4-6 7-5 6-3 7-6(4),2008,m,Mikhail Youzhny,Andreas Seppi,60%,48%,75%,73%,52%,54%,42%,33%,37%,34%,67%,70%
Second,Gilles Simon,6-2 6-2 6-1,2008,m,Gilles Simon,Rainer Schuettler,73%,63%,73%,53%,63%,46%,41%,0%,49%,30%,64.0%,60.0%
Second,Stefan Koubek,6-3 7-6(6) 7-6(5),2008,m,Stefan Koubek,Agustin Calleri,64%,53%,71%,75%,67%,62%,50%,17%,31%,30%,68.0%,64.0%
Second,Mardy Fish,6-1 6-2 6-3,2008,m,Mardy Fish,Tommy Robredo,57%,65%,83%,51%,50%,41%,50%,33%,52%,31%,83%,43%
Second,Jarkko Nieminen,6-2 7-5 7-6(2),2008,m,Jarkko Nieminen,Jesse Levine,73%,55%,70%,59%,32%,40%,35%,50%,50%,40%,58%,63%
First,Marin Cilic,7-6(4) 7-5 6-2,2008,m,Marin Cilic,Nicolas Almagro,54%,56%,75%,70%,62%,39%,42%,50%,44%,31%,71.0%,62.0%
First,Alun Jones,6-4 6-3 3-6 6-2,2008,m,Alun Jones,Albert Montanes,70%,58%,64%,64%,41%,40%,57%,29%,46%,43%,70.0%,58.0%
First,Novak Djokovic,6-0 6-2 7-6(5),2008,m,Novak Djokovic,Benjamin Becker,63%,46%,84%,58%,45%,43%,86%,50%,50%,30%,81%,36%
First,Simone Bolelli,7-6(5) 3-6 6-4 2-6 6-3,2008,m,Simone Bolelli,Rajeev Ram,64%,69%,73%,74%,49%,37%,33%,40%,37%,35%,78.0%,68.0%
First,Janko Tipsarevic,7-5 6-2 6-7(6) 0-6 6-0,2008,m,Janko Tipsarevic,Joseph Sirianni,54%,52%,75%,68%,52%,54%,40%,33%,39%,35%,63%,71%
First,Hyung-Taik Lee,7-6(6) 6-3 6-4,2008,m,Hyung-Taik Lee,Chris Guccione,58%,63%,85%,78%,63%,53%,22%,14.0%,31%,24%,81%,57%
First,Sebastien Grosjean,7-6(3) 6-3 7-6(0),2008,m,Sebastien Grosjean,Filippo Volandri,59%,49%,74%,65%,56%,42%,60%,57%,46%,33%,68.0%,62.0%
First,Jurgen Melzer,6-3 6-4 6-4,2008,m,Jurgen Melzer,Jiri Vanek,63%,60%,86%,69%,52%,35%,42%,50%,45%,27%,65.0%,56.0%
First,Fernando Verdasco,6-4 6-0 6-3,2008,m,Fernando Verdasco,Thierry Ascione,78%,65%,66%,49%,56%,35%,60%,33%,56%,36%,73.0%,61.0%
First,Juan Martin Del Potro,6-3 6-1 6-3,2008,m,Juan Martin Del Potro,Santiago Ventura,66%,47%,77%,69%,59%,38%,38%,0%,44%,28%,70.0%,65.0%
First,Peter Luczak,6-1 6-7(2) 6-3 6-4,2008,m,Peter Luczak,Mariano Zabaleta,63%,46%,80%,82%,52%,42%,46%,33%,40%,30%,70%,73%
First,Vince Spadea,2-6 2-6 7-5 6-2 6-3,2008,m,Vince Spadea,Radek Stepanek,55%,57%,70%,67%,52%,59%,63%,36%,36%,36%,64.0%,53.0%
First,Marcos Baghdatis,7-6(0) 6-2 3-6 6-3,2008,m,Marcos Baghdatis,Thomas Johansson,52%,57%,83%,66%,48%,45%,29%,27%,43%,34%,83%,60%
First,Sam Querrey,6-3 6-2 7-5,2008,m,Sam Querrey,Olivier Rochus,60%,51%,86%,49%,52%,51%,40%,33%,48%,27%,63.0%,68.0%
First,David Nalbandian,6-1 6-1 7-6(3),2008,m,David Nalbandian,Robert Smeets,49%,44%,81%,63%,68%,41%,67%,50%,49%,25%,55%,44%
First,Marat Safin,6-0 6-4 7-6(2),2008,m,Marat Safin,Ernests Gulbis,46%,51%,79%,64%,62%,43%,36%,33%,46%,30%,72%,77%
First,Robin Haase,6-7(2) 6-3 6-0 7-6(1),2008,m,Robin Haase,Ivan Ljubicic,57%,56%,80%,68%,50%,43%,43%,22%,43%,33%,69.0%,67.0%
First,Fabrice Santoro,6-2 6-2 6-4,2008,m,Fabrice Santoro,John Isner,61%,70%,71%,66%,81%,29%,67%,50%,42%,25%,65.0%,63.0%
First,Oscar Hernandez,1-6 7-6(5) 6-2 6-1,2008,m,Oscar Hernandez,Ivo Minar,61%,57%,78%,58%,45%,61%,56%,50%,41%,35%,73.0%,56.0%
First,Tomas Berdych,6-4 6-4 6-4,2008,m,Tomas Berdych,Werner Eschauer,65%,55%,71%,64%,64%,38%,67%,75%,46%,31%,71.0%,64.0%
First,Denis Istomin,6-3 6-7(1) 7-6(4) 6-1,2008,m,Denis Istomin,Lukas Lacko,65%,54%,72%,71%,63%,47%,35%,29%,38%,30%,75.0%,63.0%
First,David Ferrer,6-2 6-2 6-1,2008,m,David Ferrer,Edouard Roger-Vasselin,72%,58%,77%,49%,71%,32%,73%,17%,58%,25%,53%,41%
First,Denis Gremelmayr,6-1 0-6 6-4 7-5,2008,m,Denis Gremelmayr,Sergio Roitman,53%,55%,75%,62%,46%,54%,45%,17%,42%,39%,71.0%,63.0%
First,Lleyton Hewitt,6-0 6-3 6-0,2008,m,Lleyton Hewitt,Steve Darcis,55%,49%,83%,58%,68%,19%,62%,100%,62%,24%,82%,56%
First,Fernando Gonzalez,6-4 7-6(2) 6-1,2008,m,Fernando Gonzalez,Konstantinos Economidis,59%,58%,82%,65%,64%,49%,50%,0%,42%,25%,69%,64%
First,Roger Federer,6-0 6-3 6-0,2008,m,Roger Federer,Diego Hartfield,72%,63%,83%,51%,56%,26%,70%,0%,58%,25%,69%,50%
First,Juan Monaco,7-6(5) 7-5 6-1,2008,m,Juan Monaco,Carlos Berlocq,66%,45%,71%,65%,44%,39%,70%,67%,49%,38%,70%,62%
First,James Blake,6-3 6-2 6-2,2008,m,James Blake,Nicolas Massu,55%,74%,84%,57%,53%,35%,46%,25%,49%,30%,79%,47%
First,Michael Russell,6-1 4-6 6-2 3-6 6-3,2008,m,Michael Russell,Fabio Fognini,70%,45%,67%,66%,63%,51%,55%,60%,39%,33%,68.0%,67.0%
First,Dmitry Tursunov,6-7(1) 5-7 6-2 6-1 6-3,2008,m,Dmitry Tursunov,Xavier Malisse,64%,54%,73%,76%,64%,50%,47%,29%,36%,30%,68.0%,59.0%
First,Juan Carlos Ferrero,6-4 6-3 6-1,2008,m,Juan Carlos Ferrero,Nicolas Kiefer,70%,51%,77%,66%,58%,41%,56%,0%,46%,28%,55%,54%
First,Amer Delic,6-4 7-5 6-2,2008,m,Amer Delic,Robert Kendrick,67%,56%,74%,76%,58%,36%,83%,20%,40%,30%,66.0%,60.0%
First,Philipp Kohlschreiber,6-4 7-6(5) 6-1,2008,m,Philipp Kohlschreiber,Roko Karanusic,77%,65%,67%,69%,59%,41%,44%,9%,40%,34%,73.0%,56.0%
First,Nikolay Davydenko,7-5 7-5 6-3,2008,m,Nikolay Davydenko,Michael Llodra,79%,59%,77%,67%,37%,40%,60%,40%,44%,32%,68%,55%
First,Feliciano Lopez,7-6(6) 6-1 6-4,2008,m,Feliciano Lopez,Wayne Odesnik,58%,53%,84%,71%,63%,68%,75%,0%,30%,24%,70.0%,60.0%
First,Dudi Sela,6-2 6-4 6-2,2008,m,Dudi Sela,Martin Slanar,70%,60%,72%,63%,58%,37%,45%,0%,47%,32%,64.0%,58.0%
First,Jarkko Nieminen,6-3 6-1 5-7 2-6 6-1,2008,m,Jarkko Nieminen,Frank Dancevic,67%,62%,76%,68%,51%,52%,50%,100%,38%,32%,70.0%,59.0%
First,Nicolas Mahut,7-6(2) 5-7 6-2 3-6 7-5,2008,m,Nicolas Mahut,Jose Acasuso,58%,55%,71%,72%,60%,51%,36%,33%,37%,34%,64.0%,57.0%
First,Marc Gicquel,6-3 4-6 6-7(6) 6-4 6-2,2008,m,Marc Gicquel,Yen-Hsun Lu,61%,57%,73%,66%,42%,50%,44%,22%,41%,39%,69.0%,54.0%
First,Mardy Fish,6-2 6-3 3-6 6-3,2008,m,Mardy Fish,Boris Pashanski,60%,69%,77%,63%,51%,39%,38%,60%,45%,34%,69.0%,61.0%
First,Ivo Karlovic,6-4 6-4 6-7(1) 6-4,2008,m,Ivo Karlovic,Jamie Baker,60%,69%,75%,61%,58%,64%,36%,33%,38%,32%,nan%,nan%
First,Florent Serra,6-3 7-6(2) 7-6(5),2008,m,Florent Serra,Florian Mayer,55%,65%,73%,63%,62%,46%,43%,40%,43%,32%,69.0%,59.0%
First,Rafael Nadal,7-6(3) 7-5 6-1,2008,m,Rafael Nadal,Viktor Troicki,61%,67%,67%,72%,76%,31%,42%,40%,41%,29%,77%,65%
First,Stefan Koubek,7-6(5) 6-7(2) 7-5 6-4,2008,m,Stefan Koubek,Carlos Moya,56%,65%,69%,64%,54%,54%,50%,33%,39%,37%,79%,65%
First,Andreas Seppi,6-4 6-2 6-1,2008,m,Andreas Seppi,Harel Levy,55%,57%,79%,47%,56%,50%,50%,100%,52%,32%,70.0%,66.0%
First,Gilles Simon,4-6 6-4 6-2 6-7(3) 6-4,2008,m,Gilles Simon,Bobby Reynolds,69%,54%,74%,68%,44%,55%,33%,15%,38%,35%,70.0%,62.0%
First,Alejandro Falla,5-7 7-5 6-7(8) 6-2 7-5,2008,m,Alejandro Falla,Kevin Anderson,61%,69%,67%,62%,58%,52%,44%,29%,42%,37%,77.0%,52.0%
First,Guillermo Garcia-Lopez,6-4 6-2 1-6 6-2,2008,m,Guillermo Garcia-Lopez,Juan Ignacio Chela,67%,60%,63%,57%,52%,46%,44%,83%,47%,40%,63.0%,64.0%
First,Evgeny Korolev,7-5 6-2 6-0,2008,m,Evgeny Korolev,Marcel Granollers,60%,58%,79%,45%,58%,55%,78%,11%,51%,29%,71.0%,64.0%
First,Jo-Wilfried Tsonga,7-5 6-4 0-6 7-6(5),2008,m,Jo-Wilfried Tsonga,Andy Murray,59%,58%,71%,68%,43%,49%,31%,50%,40%,40%,67%,56%
First,Paul-Henri Mathieu,6-1 7-6(4) 6-2,2008,m,Paul-Henri Mathieu,Victor Hanescu,60%,72%,85%,64%,51%,31%,26%,17%,45%,28%,70.0%,59.0%
First,Agustin Calleri,6-4 6-7(6) 6-3 6-4,2008,m,Agustin Calleri,Luis Horna,50%,60%,77%,80%,68%,47%,38%,0%,32%,27%,63.0%,58.0%
First,Rainer Schuettler,6-4 6-2 6-7(3) 6-4,2008,m,Rainer Schuettler,Arnaud Clement,66%,63%,61%,63%,69%,47%,47%,27%,43%,36%,79%,53%
First,Kristof Vliegen,6-0 6-1 7-6(3),2008,m,Kristof Vliegen,Olivier Patience,61%,74%,78%,52%,69%,42%,50%,25%,49%,25%,67.0%,62.0%
First,Sam Warburg,2-6 6-2 6-3 2-6 6-4,2008,m,Sam Warburg,Juan-Pablo Brzezicki,70%,67%,60%,62%,59%,46%,44%,44%,42%,40%,nan%,nan%
First,Michael Berrer,6-7(5) 7-6(4) 6-3 7-6(5),2008,m,Michael Berrer,Donald Young,68%,61%,78%,64%,47%,51%,33%,50%,41%,32%,65%,63%
First,Mikhail Youzhny,6-0 6-2 7-6(3),2008,m,Mikhail Youzhny,Mathieu Montcourt,66%,56%,74%,60%,50%,36%,100%,11%,51%,34%,79%,68%
First,Jesse Levine,6-1 7-5 6-1,2008,m,Jesse Levine,Martin Vassallo Arguello,65%,60%,73%,52%,50%,35%,73%,29%,55%,35%,78.0%,56.0%
First,Richard Gasquet,6-0 6-1 3-6 6-2,2008,m,Richard Gasquet,Nick Lindahl,59%,62%,78%,64%,72%,36%,41%,50%,47%,24%,60%,62%
First,Igor Andreev,5-7 6-2 7-6(4) 6-3,2008,m,Igor Andreev,Andrei Pavel,73%,74%,75%,62%,65%,67%,50%,25%,37%,28%,63.0%,62.0%
First,Andy Roddick,6-3 6-4 7-5,2008,m,Andy Roddick,Lukas Dlouhy,65%,56%,76%,67%,58%,41%,45%,29%,44%,30%,67%,74%
First,Paul Capdeville,6-4 7-5 6-4,2008,m,Paul Capdeville,Brydan Klein,74%,56%,72%,63%,52%,52%,45%,50%,42%,33%,67%,59%
First,Tommy Robredo,4-6 2-6 7-6(2) 6-4 7-5,2008,m,Tommy Robredo,Mischa Zverev,66%,77%,69%,64%,42%,34%,41%,42%,43%,40%,74%,56%
