round,winner,results,year,gender,player1,player2,firstServe1,firstServe2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,break1,break2,return1,return2,net1,net2
First,Gaston Gaudio,7-6(3) 6-4 6-3,2005,m,Gaston Gaudio,Justin Gimelstob,64%,44%,77%,73%,66%,57%,83%,40%,42%,31%,85%,58%
First,Marat Safin,6-0 6-2 6-1,2005,m,Marat Safin,Novak Djokovic,53%,59%,93%,41%,54%,19%,69%,100%,68%,25%,95%,27%
First,Bohdan Ulihrach,6-3 6-7(6) 7-5 6-2,2005,m,Bohdan Ulihrach,Ivo Karlovic,69%,59%,84%,76%,70%,58%,25%,0%,35%,22%,75%,43%
First,Rainer Schuettler,7-6(3) 6-3 6-2,2005,m,Rainer Schuettler,Olivier Patience,61%,64%,80%,60%,64%,54%,40%,0%,42%,26%,72%,67%
First,Gael Monfils,1-6 6-3 6-4 7-6(6),2005,m,Gael Monfils,Robby Ginepri,54%,63%,79%,66%,48%,64%,50%,80%,36%,38%,75%,44%
First,Michal Tabara,3-6 6-2 6-3 6-3,2005,m,Michal Tabara,Thomas Enqvist,42%,51%,73%,67%,51%,38%,53%,31%,47%,40%,82%,47%
First,Paradorn Srichaphan,1-6 6-2 7-5 6-4,2005,m,Paradorn Srichaphan,Potito Starace,61%,75%,70%,62%,52%,61%,32%,57%,39%,38%,55%,60%
First,Agustin Calleri,6-4 5-7 6-4 4-6 6-4,2005,m,Agustin Calleri,Max Mirnyi,60%,69%,74%,77%,62%,52%,71%,50%,32%,35%,79%,60%
First,Taylor Dent,7-5 6-2 6-4,2005,m,Taylor Dent,Florent Serra,65%,67%,78%,55%,36%,50%,64%,60%,47%,37%,64%,59%
First,Jarkko Nieminen,3-6 6-4 6-3 6-2,2005,m,Jarkko Nieminen,Davide Sanguinetti,62%,66%,71%,63%,61%,42%,70%,57%,44%,33%,71%,73%
First,Janko Tipsarevic,7-6(4) 7-6(6) 3-6 6-1,2005,m,Janko Tipsarevic,Daniele Bracciali,54%,42%,70%,72%,63%,58%,71%,44%,39%,36%,76%,52%
First,Mario Ancic,6-3 6-2 6-1,2005,m,Mario Ancic,Oscar Hernandez,68%,53%,80%,57%,75%,49%,35%,42.0%,51%,23%,76%,71%
First,Tommy Robredo,5-7 6-2 6-4 6-2,2005,m,Tommy Robredo,Scott Draper,60%,62%,74%,64%,59%,43%,50%,40%,45%,34%,62%,61%
First,Bjorn Phau,6-3 7-6(4) 6-3,2005,m,Bjorn Phau,Albert Costa,52%,61%,67%,54%,66%,47%,44%,50%,50%,36%,75%,45%
First,Ivan Ljubicic,6-4 6-3 6-3,2005,m,Ivan Ljubicic,Luis Horna,64%,77%,84%,63%,80%,42%,57%,0%,42%,17%,73%,50%
First,Tommy Haas,6-3 6-2 6-3,2005,m,Tommy Haas,Xavier Malisse,59%,49%,87%,62%,70%,48%,36%,0%,46%,20%,72%,40%
First,Mardy Fish,2-6 6-0 6-4 4-6 9-7,2005,m,Mardy Fish,Juan Monaco,54%,69%,78%,60%,46%,57%,44%,45%,41%,37%,67%,64%
First,Roger Federer,6-1 6-1 6-2,2005,m,Roger Federer,Fabrice Santoro,60%,69%,80%,49%,56%,43%,39%,0%,53%,29%,76%,40%
First,Marcos Baghdatis,6-1 3-6 6-1 3-6 6-3,2005,m,Marcos Baghdatis,Federico Luzzi,58%,55%,71%,68%,63%,49%,40%,25%,44%,34%,59%,67%
First,Guillermo Garcia-Lopez,7-5 6-3 3-6 6-3,2005,m,Guillermo Garcia-Lopez,Carlos Moya,51%,64%,69%,69%,61%,45%,50%,19%,39%,35%,79%,61%
First,Karol Beck,6-2 6-2 6-1,2005,m,Karol Beck,Todd Reid,40%,66%,81%,54%,57%,39%,41%,0%,51%,34%,94%,37%
First,Joachim Johansson,7-6(6) 6-2 6-3,2005,m,Joachim Johansson,Sjeng Schalken,58%,71%,84%,70%,72%,41%,67%,0%,38%,21%,86%,67%
First,Andre Agassi,6-4 6-3 6-0,2005,m,Andre Agassi,Dieter Kindlmann,59%,51%,85%,53%,65%,42%,35%,50%,55%,28%,75%,67%
Final,Roger Federer,5-7 7-5 6-0 6-2,2006,m,Roger Federer,Marcos Baghdatis,53%,48%,71%,71%,51%,37%,67%,30%,46%,38%,78%,52%
semi,Roger Federer,6-3 5-7 6-0 6-2,2006,m,Roger Federer,Nicolas Kiefer,66%,51%,71%,71%,67%,38%,32%,25%,45%,30%,79%,70%
semi,Marcos Baghdatis,3-6 5-7 6-3 6-4 6-4,2006,m,Marcos Baghdatis,David Nalbandian,56%,67%,70%,63%,50%,50%,62%,41%,41%,39%,63%,81%
quarter,Roger Federer,6-4 3-6 7-6(7) 7-6(5),2006,m,Roger Federer,Nikolay Davydenko,62%,77%,74%,70%,53%,42%,40%,50%,36%,34%,60%,72%
quarter,Nicolas Kiefer,6-3 0-6 6-4 6-7(1) 8-6,2006,m,Nicolas Kiefer,Sebastien Grosjean,45%,51%,62%,64%,51%,53%,56%,69%,41%,44%,58%,59%
quarter,David Nalbandian,7-5 6-0 6-0,2006,m,David Nalbandian,Fabrice Santoro,61%,61%,74%,59%,72%,20%,53%,33%,57%,27%,81%,40%
quarter,Marcos Baghdatis,6-4 6-2 4-6 3-6 6-3,2006,m,Marcos Baghdatis,Ivan Ljubicic,53%,64%,80%,71%,60%,54%,27%,22%,35%,30%,67%,70%
Fourth,Nicolas Kiefer,7-6(4) 6-3 6-3,2006,m,Nicolas Kiefer,Juan Ignacio Chela,46%,57%,84%,63%,51%,53%,71%,22%,41%,34%,76%,50%
Fourth,Sebastien Grosjean,7-5 6-2 6-2,2006,m,Sebastien Grosjean,Paul-Henri Mathieu,43%,49%,94%,52%,46%,47%,57%,75%,51%,33%,60%,57%
Fourth,Roger Federer,6-4 6-0 3-6 4-6 6-2,2006,m,Roger Federer,Tommy Haas,58%,64%,78%,63%,53%,57%,55%,22%,39%,33%,66%,69%
Fourth,Nikolay Davydenko,4-6 4-6 6-4 6-2 6-3,2006,m,Nikolay Davydenko,Dominik Hrbaty,69%,50%,59%,72%,62%,41%,67%,43%,44%,40%,52%,66%
Fourth,Fabrice Santoro,6-4 7-5 7-5,2006,m,Fabrice Santoro,David Ferrer,60%,73%,63%,53%,47%,34%,56%,50%,52%,44%,61%,73%
Fourth,Ivan Ljubicic,6-2 6-4 6-4,2006,m,Ivan Ljubicic,Thomas Johansson,53%,46%,77%,81%,71%,41%,57%,0%,41%,26%,68%,63%
Fourth,Marcos Baghdatis,6-4 1-6 6-3 6-4,2006,m,Marcos Baghdatis,Andy Roddick,48%,60%,72%,74%,57%,56%,30%,22%,33%,36%,64%,57%
Fourth,David Nalbandian,6-3 6-0 2-6 6-2,2006,m,David Nalbandian,Tommy Robredo,65%,68%,73%,62%,66%,32%,32%,100%,48%,30%,83%,71%
Third,Roger Federer,6-3 6-4 6-3,2006,m,Roger Federer,Max Mirnyi,67%,67%,79%,69%,87%,31%,27%,0%,44%,19%,75%,53%
Third,Nicolas Kiefer,6-3 6-2 5-7 6-2,2006,m,Nicolas Kiefer,Juan Carlos Ferrero,51%,64%,87%,60%,56%,58%,36%,33%,40%,28%,67%,72%
Third,Paul-Henri Mathieu,7-6(2) 7-6(7) 6-1,2006,m,Paul-Henri Mathieu,Luis Horna,63%,70%,78%,63%,61%,39%,42%,50%,44%,28%,59%,38%
Third,Dominik Hrbaty,1-6 6-4 6-3 2-6 6-4,2006,m,Dominik Hrbaty,Igor Andreev,56%,58%,61%,66%,57%,48%,24%,43%,41%,41%,52%,74%
Third,Juan Ignacio Chela,6-1 6-4 6-4,2006,m,Juan Ignacio Chela,Kristof Vliegen,55%,65%,79%,68%,58%,38%,36%,0%,43%,31%,74%,69%
Third,Tommy Haas,4-6 6-3 6-4 6-4,2006,m,Tommy Haas,Peter Luczak,60%,60%,81%,72%,62%,54%,50%,100%,35%,27%,75%,72%
Third,Sebastien Grosjean,6-2 6-2 3-6 6-4,2006,m,Sebastien Grosjean,Guillermo Coria,51%,64%,73%,61%,40%,26%,35%,55%,52%,44%,63%,73%
Third,Nikolay Davydenko,6-2 5-7 6-4 7-5,2006,m,Nikolay Davydenko,Nathan Healey,75%,62%,74%,70%,71%,41%,28%,33%,41%,26%,83%,63%
Third,Andy Roddick,6-1 6-2 6-2,2006,m,Andy Roddick,Julien Benneteau,60%,59%,86%,49%,64%,38%,86%,32.0%,56%,23%,77%,44%
Third,David Nalbandian,2-6 6-3 6-2 7-5,2006,m,David Nalbandian,Jarkko Nieminen,65%,68%,63%,58%,58%,45%,37%,31%,46%,39%,74%,48%
Third,David Ferrer,6-3 6-3 6-3,2006,m,David Ferrer,Mario Ancic,71%,66%,65%,54%,58%,48%,46%,50%,48%,37%,42%,58%
Third,Thomas Johansson,6-3 6-2 6-1,2006,m,Thomas Johansson,Gilles Simon,58%,45%,85%,70%,53%,41%,40%,0%,46%,28%,60%,37%
Third,Marcos Baghdatis,6-2 6-1 6-2,2006,m,Marcos Baghdatis,Denis Gremelmayr,55%,62%,67%,45%,60%,35%,73%,67%,59%,36%,74%,48%
Third,Tommy Robredo,6-3 6-4 6-4,2006,m,Tommy Robredo,James Blake,57%,52%,78%,70%,65%,43%,31%,20%,43%,28%,75%,67%
Third,Fabrice Santoro,6-3 6-2 5-7 1-6 6-4,2006,m,Fabrice Santoro,Gaston Gaudio,55%,60%,67%,63%,43%,47%,62%,28%,43%,44%,63%,73%
Third,Ivan Ljubicic,7-5 7-6(5) 6-0,2006,m,Ivan Ljubicic,Feliciano Lopez,55%,56%,83%,70%,53%,38%,29%,20%,44%,30%,60%,57%
